period_init,v_kick,bound?,tighten?,circularize?
112.00000000000001,207.65656565656568,0.18,0.6055555555555555,0.2833333333333333
112.00000000000001,212.69696969696972,0.169,0.5562130177514792,0.30177514792899407
112.00000000000001,217.73737373737376,0.132,0.49242424242424243,0.22727272727272727
112.00000000000001,222.7777777777778,0.128,0.3828125,0.2421875
112.00000000000001,227.81818181818184,0.107,0.4205607476635514,0.2523364485981308
112.00000000000001,232.85858585858588,0.087,0.2413793103448276,0.1724137931034483
112.00000000000001,237.89898989898992,0.069,0.08695652173913043,0.07246376811594203
112.00000000000001,242.93939393939394,0.06,0.0,0.0
112.00000000000001,247.97979797979798,0.042,0.0,0.0
112.00000000000001,253.02020202020202,0.027,0.0,0.0
112.00000000000001,258.06060606060606,0.012,0.0,0.0
112.00000000000001,263.1010101010101,0.0,,
112.00000000000001,268.14141414141415,0.0,,
112.00000000000001,273.1818181818182,0.0,,
112.00000000000001,278.22222222222223,0.0,,
112.00000000000001,283.26262626262627,0.0,,
112.00000000000001,288.3030303030303,0.0,,
112.00000000000001,293.34343434343435,0.0,,
112.00000000000001,298.3838383838384,0.0,,
112.00000000000001,303.42424242424244,0.0,,
112.00000000000001,308.4646464646465,0.0,,
112.00000000000001,313.5050505050505,0.0,,
112.00000000000001,318.54545454545456,0.0,,
112.00000000000001,323.5858585858586,0.0,,
112.00000000000001,328.62626262626264,0.0,,
112.00000000000001,333.6666666666667,0.0,,
112.00000000000001,338.7070707070707,0.0,,
112.00000000000001,343.74747474747477,0.0,,
112.00000000000001,348.7878787878788,0.0,,
112.00000000000001,353.82828282828285,0.0,,
112.00000000000001,358.8686868686869,0.0,,
112.00000000000001,363.90909090909093,0.0,,
112.00000000000001,368.949494949495,0.0,,
112.00000000000001,373.989898989899,0.0,,
112.00000000000001,379.03030303030306,0.0,,
112.00000000000001,384.0707070707071,0.0,,
112.00000000000001,389.11111111111114,0.0,,
112.00000000000001,394.1515151515152,0.0,,
112.00000000000001,399.1919191919192,0.0,,
112.00000000000001,404.23232323232327,0.0,,
112.00000000000001,409.2727272727273,0.0,,
