period_init,v_kick,collide?,bound?
717.4545454545455,71.56565656565657,0.0,0.213
717.4545454545455,76.60606060606061,0.0,0.164
717.4545454545455,81.64646464646465,0.0,0.117
717.4545454545455,86.68686868686869,0.0,0.067
717.4545454545455,91.72727272727273,0.0,0.01
717.4545454545455,96.76767676767678,0.0,0.0
717.4545454545455,101.80808080808082,0.0,0.0
717.4545454545455,106.84848484848486,0.0,0.0
717.4545454545455,111.8888888888889,0.0,0.0
717.4545454545455,116.92929292929294,0.0,0.0
717.4545454545455,121.96969696969697,0.0,0.0
717.4545454545455,127.01010101010101,0.0,0.0
717.4545454545455,132.05050505050505,0.0,0.0
717.4545454545455,137.0909090909091,0.0,0.0
717.4545454545455,142.13131313131314,0.0,0.0
717.4545454545455,147.17171717171718,0.0,0.0
717.4545454545455,152.21212121212122,0.0,0.0
717.4545454545455,157.25252525252526,0.0,0.0
717.4545454545455,162.2929292929293,0.0,0.0
717.4545454545455,167.33333333333334,0.0,0.0
717.4545454545455,172.37373737373738,0.0,0.0
717.4545454545455,177.41414141414143,0.0,0.0
717.4545454545455,182.45454545454547,0.0,0.0
717.4545454545455,187.4949494949495,0.0,0.0
717.4545454545455,192.53535353535355,0.0,0.0
717.4545454545455,197.5757575757576,0.0,0.0
717.4545454545455,202.61616161616163,0.0,0.0
717.4545454545455,207.65656565656568,0.0,0.0
717.4545454545455,212.69696969696972,0.0,0.0
717.4545454545455,217.73737373737376,0.0,0.0
717.4545454545455,222.7777777777778,0.0,0.0
717.4545454545455,227.81818181818184,0.0,0.0
717.4545454545455,232.85858585858588,0.0,0.0
717.4545454545455,237.89898989898992,0.0,0.0
717.4545454545455,242.93939393939394,0.0,0.0
717.4545454545455,247.97979797979798,0.0,0.0
717.4545454545455,253.02020202020202,0.0,0.0
717.4545454545455,258.06060606060606,0.0,0.0
717.4545454545455,263.1010101010101,0.0,0.0
717.4545454545455,268.14141414141415,0.0,0.0
717.4545454545455,273.1818181818182,0.0,0.0
717.4545454545455,278.22222222222223,0.0,0.0
717.4545454545455,283.26262626262627,0.0,0.0
717.4545454545455,288.3030303030303,0.0,0.0
717.4545454545455,293.34343434343435,0.0,0.0
717.4545454545455,298.3838383838384,0.0,0.0
717.4545454545455,303.42424242424244,0.0,0.0
717.4545454545455,308.4646464646465,0.0,0.0
717.4545454545455,313.5050505050505,0.0,0.0
717.4545454545455,318.54545454545456,0.0,0.0
717.4545454545455,323.5858585858586,0.0,0.0
717.4545454545455,328.62626262626264,0.0,0.0
717.4545454545455,333.6666666666667,0.0,0.0
717.4545454545455,338.7070707070707,0.0,0.0
717.4545454545455,343.74747474747477,0.0,0.0
717.4545454545455,348.7878787878788,0.0,0.0
717.4545454545455,353.82828282828285,0.0,0.0
717.4545454545455,358.8686868686869,0.0,0.0
717.4545454545455,363.90909090909093,0.0,0.0
717.4545454545455,368.949494949495,0.0,0.0
717.4545454545455,373.989898989899,0.0,0.0
717.4545454545455,379.03030303030306,0.0,0.0
717.4545454545455,384.0707070707071,0.0,0.0
717.4545454545455,389.11111111111114,0.0,0.0
717.4545454545455,394.1515151515152,0.0,0.0
717.4545454545455,399.1919191919192,0.0,0.0
717.4545454545455,404.23232323232327,0.0,0.0
717.4545454545455,409.2727272727273,0.0,0.0
717.4545454545455,414.31313131313135,0.0,0.0
717.4545454545455,419.3535353535354,0.0,0.0
717.4545454545455,424.39393939393943,0.0,0.0
717.4545454545455,429.4343434343435,0.0,0.0
717.4545454545455,434.4747474747475,0.0,0.0
717.4545454545455,439.51515151515156,0.0,0.0
717.4545454545455,444.5555555555556,0.0,0.0
717.4545454545455,449.59595959595964,0.0,0.0
717.4545454545455,454.6363636363637,0.0,0.0
717.4545454545455,459.6767676767677,0.0,0.0
717.4545454545455,464.71717171717177,0.0,0.0
717.4545454545455,469.7575757575758,0.0,0.0
717.4545454545455,474.79797979797985,0.0,0.0
717.4545454545455,479.8383838383839,0.0,0.0
717.4545454545455,484.8787878787879,0.0,0.0
717.4545454545455,489.9191919191919,0.0,0.0
717.4545454545455,494.95959595959596,0.0,0.0
717.4545454545455,500.0,0.0,0.0
727.5454545454546,1.0,0.0,1.0
727.5454545454546,6.040404040404041,0.0,1.0
727.5454545454546,11.080808080808081,0.0,1.0
727.5454545454546,16.12121212121212,0.0,1.0
727.5454545454546,21.161616161616163,0.0,1.0
727.5454545454546,26.202020202020204,0.0,1.0
727.5454545454546,31.242424242424242,0.0,0.898
727.5454545454546,36.282828282828284,0.0,0.785
727.5454545454546,41.323232323232325,0.0,0.657
727.5454545454546,46.36363636363637,0.0,0.567
727.5454545454546,51.40404040404041,0.0,0.504
727.5454545454546,56.44444444444445,0.0,0.388
727.5454545454546,61.484848484848484,0.0,0.338
727.5454545454546,66.52525252525253,0.0,0.266
727.5454545454546,71.56565656565657,0.0,0.215
727.5454545454546,76.60606060606061,0.0,0.158
727.5454545454546,81.64646464646465,0.0,0.106
727.5454545454546,86.68686868686869,0.0,0.049
727.5454545454546,91.72727272727273,0.0,0.004
727.5454545454546,96.76767676767678,0.0,0.0
727.5454545454546,101.80808080808082,0.0,0.0
727.5454545454546,106.84848484848486,0.0,0.0
727.5454545454546,111.8888888888889,0.0,0.0
727.5454545454546,116.92929292929294,0.0,0.0
727.5454545454546,121.96969696969697,0.001,0.0
727.5454545454546,127.01010101010101,0.0,0.0
727.5454545454546,132.05050505050505,0.0,0.0
727.5454545454546,137.0909090909091,0.0,0.0
727.5454545454546,142.13131313131314,0.0,0.0
727.5454545454546,147.17171717171718,0.0,0.0
727.5454545454546,152.21212121212122,0.0,0.0
727.5454545454546,157.25252525252526,0.0,0.0
727.5454545454546,162.2929292929293,0.0,0.0
727.5454545454546,167.33333333333334,0.0,0.0
727.5454545454546,172.37373737373738,0.0,0.0
727.5454545454546,177.41414141414143,0.0,0.0
727.5454545454546,182.45454545454547,0.0,0.0
727.5454545454546,187.4949494949495,0.0,0.0
727.5454545454546,192.53535353535355,0.0,0.0
727.5454545454546,197.5757575757576,0.0,0.0
727.5454545454546,202.61616161616163,0.0,0.0
727.5454545454546,207.65656565656568,0.0,0.0
727.5454545454546,212.69696969696972,0.0,0.0
727.5454545454546,217.73737373737376,0.0,0.0
727.5454545454546,222.7777777777778,0.0,0.0
727.5454545454546,227.81818181818184,0.0,0.0
727.5454545454546,232.85858585858588,0.0,0.0
727.5454545454546,237.89898989898992,0.0,0.0
727.5454545454546,242.93939393939394,0.0,0.0
727.5454545454546,247.97979797979798,0.0,0.0
727.5454545454546,253.02020202020202,0.0,0.0
727.5454545454546,258.06060606060606,0.0,0.0
727.5454545454546,263.1010101010101,0.0,0.0
727.5454545454546,268.14141414141415,0.0,0.0
727.5454545454546,273.1818181818182,0.0,0.0
727.5454545454546,278.22222222222223,0.0,0.0
727.5454545454546,283.26262626262627,0.0,0.0
727.5454545454546,288.3030303030303,0.0,0.0
727.5454545454546,293.34343434343435,0.0,0.0
727.5454545454546,298.3838383838384,0.0,0.0
727.5454545454546,303.42424242424244,0.0,0.0
727.5454545454546,308.4646464646465,0.0,0.0
727.5454545454546,313.5050505050505,0.0,0.0
727.5454545454546,318.54545454545456,0.0,0.0
727.5454545454546,323.5858585858586,0.0,0.0
727.5454545454546,328.62626262626264,0.0,0.0
727.5454545454546,333.6666666666667,0.0,0.0
727.5454545454546,338.7070707070707,0.0,0.0
727.5454545454546,343.74747474747477,0.0,0.0
727.5454545454546,348.7878787878788,0.0,0.0
727.5454545454546,353.82828282828285,0.0,0.0
727.5454545454546,358.8686868686869,0.0,0.0
727.5454545454546,363.90909090909093,0.0,0.0
727.5454545454546,368.949494949495,0.0,0.0
727.5454545454546,373.989898989899,0.0,0.0
727.5454545454546,379.03030303030306,0.0,0.0
727.5454545454546,384.0707070707071,0.0,0.0
727.5454545454546,389.11111111111114,0.0,0.0
727.5454545454546,394.1515151515152,0.0,0.0
727.5454545454546,399.1919191919192,0.0,0.0
727.5454545454546,404.23232323232327,0.0,0.0
727.5454545454546,409.2727272727273,0.0,0.0
727.5454545454546,414.31313131313135,0.0,0.0
727.5454545454546,419.3535353535354,0.0,0.0
727.5454545454546,424.39393939393943,0.0,0.0
727.5454545454546,429.4343434343435,0.0,0.0
727.5454545454546,434.4747474747475,0.0,0.0
727.5454545454546,439.51515151515156,0.0,0.0
727.5454545454546,444.5555555555556,0.0,0.0
727.5454545454546,449.59595959595964,0.0,0.0
727.5454545454546,454.6363636363637,0.0,0.0
727.5454545454546,459.6767676767677,0.0,0.0
727.5454545454546,464.71717171717177,0.0,0.0
727.5454545454546,469.7575757575758,0.0,0.0
727.5454545454546,474.79797979797985,0.0,0.0
727.5454545454546,479.8383838383839,0.0,0.0
727.5454545454546,484.8787878787879,0.0,0.0
727.5454545454546,489.9191919191919,0.0,0.0
727.5454545454546,494.95959595959596,0.0,0.0
727.5454545454546,500.0,0.0,0.0
737.6363636363637,1.0,0.0,1.0
737.6363636363637,6.040404040404041,0.0,1.0
737.6363636363637,11.080808080808081,0.0,1.0
737.6363636363637,16.12121212121212,0.0,1.0
737.6363636363637,21.161616161616163,0.0,1.0
737.6363636363637,26.202020202020204,0.0,1.0
737.6363636363637,31.242424242424242,0.0,0.891
737.6363636363637,36.282828282828284,0.0,0.773
737.6363636363637,41.323232323232325,0.0,0.653
737.6363636363637,46.36363636363637,0.0,0.57
737.6363636363637,51.40404040404041,0.0,0.472
737.6363636363637,56.44444444444445,0.0,0.436
737.6363636363637,61.484848484848484,0.0,0.353
737.6363636363637,66.52525252525253,0.0,0.298
737.6363636363637,71.56565656565657,0.0,0.23
737.6363636363637,76.60606060606061,0.0,0.152
737.6363636363637,81.64646464646465,0.0,0.099
737.6363636363637,86.68686868686869,0.0,0.052
737.6363636363637,91.72727272727273,0.0,0.0
737.6363636363637,96.76767676767678,0.0,0.0
737.6363636363637,101.80808080808082,0.0,0.0
737.6363636363637,106.84848484848486,0.0,0.0
737.6363636363637,111.8888888888889,0.0,0.0
737.6363636363637,116.92929292929294,0.0,0.0
737.6363636363637,121.96969696969697,0.0,0.0
737.6363636363637,127.01010101010101,0.0,0.0
737.6363636363637,132.05050505050505,0.0,0.0
737.6363636363637,137.0909090909091,0.0,0.0
737.6363636363637,142.13131313131314,0.0,0.0
737.6363636363637,147.17171717171718,0.0,0.0
737.6363636363637,152.21212121212122,0.0,0.0
737.6363636363637,157.25252525252526,0.0,0.0
737.6363636363637,162.2929292929293,0.0,0.0
737.6363636363637,167.33333333333334,0.0,0.0
737.6363636363637,172.37373737373738,0.0,0.0
737.6363636363637,177.41414141414143,0.0,0.0
737.6363636363637,182.45454545454547,0.0,0.0
737.6363636363637,187.4949494949495,0.0,0.0
737.6363636363637,192.53535353535355,0.0,0.0
737.6363636363637,197.5757575757576,0.0,0.0
737.6363636363637,202.61616161616163,0.0,0.0
737.6363636363637,207.65656565656568,0.0,0.0
737.6363636363637,212.69696969696972,0.0,0.0
737.6363636363637,217.73737373737376,0.0,0.0
737.6363636363637,222.7777777777778,0.0,0.0
737.6363636363637,227.81818181818184,0.0,0.0
737.6363636363637,232.85858585858588,0.0,0.0
737.6363636363637,237.89898989898992,0.0,0.0
737.6363636363637,242.93939393939394,0.0,0.0
737.6363636363637,247.97979797979798,0.0,0.0
737.6363636363637,253.02020202020202,0.0,0.0
737.6363636363637,258.06060606060606,0.0,0.0
737.6363636363637,263.1010101010101,0.0,0.0
737.6363636363637,268.14141414141415,0.0,0.0
737.6363636363637,273.1818181818182,0.0,0.0
737.6363636363637,278.22222222222223,0.0,0.0
737.6363636363637,283.26262626262627,0.0,0.0
737.6363636363637,288.3030303030303,0.0,0.0
737.6363636363637,293.34343434343435,0.0,0.0
737.6363636363637,298.3838383838384,0.0,0.0
737.6363636363637,303.42424242424244,0.0,0.0
737.6363636363637,308.4646464646465,0.0,0.0
737.6363636363637,313.5050505050505,0.0,0.0
737.6363636363637,318.54545454545456,0.0,0.0
737.6363636363637,323.5858585858586,0.0,0.0
737.6363636363637,328.62626262626264,0.0,0.0
737.6363636363637,333.6666666666667,0.0,0.0
737.6363636363637,338.7070707070707,0.0,0.0
737.6363636363637,343.74747474747477,0.0,0.0
737.6363636363637,348.7878787878788,0.0,0.0
737.6363636363637,353.82828282828285,0.0,0.0
737.6363636363637,358.8686868686869,0.0,0.0
737.6363636363637,363.90909090909093,0.0,0.0
737.6363636363637,368.949494949495,0.0,0.0
737.6363636363637,373.989898989899,0.0,0.0
737.6363636363637,379.03030303030306,0.0,0.0
737.6363636363637,384.0707070707071,0.0,0.0
737.6363636363637,389.11111111111114,0.0,0.0
737.6363636363637,394.1515151515152,0.0,0.0
737.6363636363637,399.1919191919192,0.0,0.0
737.6363636363637,404.23232323232327,0.0,0.0
737.6363636363637,409.2727272727273,0.0,0.0
737.6363636363637,414.31313131313135,0.0,0.0
737.6363636363637,419.3535353535354,0.0,0.0
737.6363636363637,424.39393939393943,0.0,0.0
737.6363636363637,429.4343434343435,0.0,0.0
737.6363636363637,434.4747474747475,0.0,0.0
737.6363636363637,439.51515151515156,0.0,0.0
737.6363636363637,444.5555555555556,0.0,0.0
737.6363636363637,449.59595959595964,0.0,0.0
737.6363636363637,454.6363636363637,0.0,0.0
737.6363636363637,459.6767676767677,0.0,0.0
737.6363636363637,464.71717171717177,0.0,0.0
737.6363636363637,469.7575757575758,0.0,0.0
737.6363636363637,474.79797979797985,0.0,0.0
737.6363636363637,479.8383838383839,0.0,0.0
737.6363636363637,484.8787878787879,0.0,0.0
737.6363636363637,489.9191919191919,0.0,0.0
737.6363636363637,494.95959595959596,0.0,0.0
737.6363636363637,500.0,0.0,0.0
747.7272727272727,1.0,0.0,1.0
747.7272727272727,6.040404040404041,0.0,1.0
747.7272727272727,11.080808080808081,0.0,1.0
747.7272727272727,16.12121212121212,0.0,1.0
747.7272727272727,21.161616161616163,0.0,1.0
747.7272727272727,26.202020202020204,0.0,1.0
747.7272727272727,31.242424242424242,0.0,0.907
747.7272727272727,36.282828282828284,0.0,0.764
747.7272727272727,41.323232323232325,0.0,0.666
747.7272727272727,46.36363636363637,0.0,0.558
747.7272727272727,51.40404040404041,0.0,0.471
747.7272727272727,56.44444444444445,0.0,0.414
747.7272727272727,61.484848484848484,0.0,0.35
747.7272727272727,66.52525252525253,0.0,0.272
747.7272727272727,71.56565656565657,0.0,0.219
747.7272727272727,76.60606060606061,0.0,0.171
747.7272727272727,81.64646464646465,0.0,0.114
747.7272727272727,86.68686868686869,0.0,0.05
747.7272727272727,91.72727272727273,0.0,0.0
747.7272727272727,96.76767676767678,0.0,0.0
747.7272727272727,101.80808080808082,0.0,0.0
747.7272727272727,106.84848484848486,0.0,0.0
747.7272727272727,111.8888888888889,0.0,0.0
747.7272727272727,116.92929292929294,0.0,0.0
747.7272727272727,121.96969696969697,0.0,0.0
747.7272727272727,127.01010101010101,0.0,0.0
747.7272727272727,132.05050505050505,0.0,0.0
747.7272727272727,137.0909090909091,0.0,0.0
747.7272727272727,142.13131313131314,0.0,0.0
747.7272727272727,147.17171717171718,0.0,0.0
747.7272727272727,152.21212121212122,0.0,0.0
747.7272727272727,157.25252525252526,0.0,0.0
747.7272727272727,162.2929292929293,0.0,0.0
747.7272727272727,167.33333333333334,0.0,0.0
747.7272727272727,172.37373737373738,0.0,0.0
747.7272727272727,177.41414141414143,0.0,0.0
747.7272727272727,182.45454545454547,0.0,0.0
