period_init,v_kick,bound?,tighten?,circularize?
11.090909090909092,479.8383838383839,0.014,0.2857142857142857,0.0
11.090909090909092,484.8787878787879,0.012,0.16666666666666666,0.16666666666666666
11.090909090909092,489.9191919191919,0.01,0.4,0.3
11.090909090909092,494.95959595959596,0.01,0.0,0.0
11.090909090909092,500.0,0.004,0.25,0.25
21.181818181818183,1.0,1.0,1.0,0.145
21.181818181818183,6.040404040404041,1.0,1.0,0.123
21.181818181818183,11.080808080808081,1.0,1.0,0.165
21.181818181818183,16.12121212121212,1.0,1.0,0.183
21.181818181818183,21.161616161616163,1.0,0.989,0.228
21.181818181818183,26.202020202020204,1.0,0.932,0.303
21.181818181818183,31.242424242424242,1.0,0.913,0.334
21.181818181818183,36.282828282828284,1.0,0.856,0.342
21.181818181818183,41.323232323232325,1.0,0.784,0.382
21.181818181818183,46.36363636363637,1.0,0.769,0.403
21.181818181818183,51.40404040404041,1.0,0.697,0.39
21.181818181818183,56.44444444444445,1.0,0.66,0.371
21.181818181818183,61.484848484848484,1.0,0.626,0.373
21.181818181818183,66.52525252525253,1.0,0.584,0.376
21.181818181818183,71.56565656565657,1.0,0.555,0.383
21.181818181818183,76.60606060606061,1.0,0.524,0.355
21.181818181818183,81.64646464646465,1.0,0.518,0.324
21.181818181818183,86.68686868686869,1.0,0.438,0.29
21.181818181818183,91.72727272727273,1.0,0.408,0.273
21.181818181818183,96.76767676767678,0.98,0.4020408163265306,0.24081632653061225
21.181818181818183,101.80808080808082,0.921,0.4028230184581976,0.22258414766558088
21.181818181818183,106.84848484848486,0.891,0.4276094276094276,0.21997755331088664
21.181818181818183,111.8888888888889,0.852,0.42370892018779344,0.18896713615023475
21.181818181818183,116.92929292929294,0.774,0.42118863049095606,0.20930232558139536
21.181818181818183,121.96969696969697,0.76,0.38026315789473686,0.20526315789473684
21.181818181818183,127.01010101010101,0.719,0.3588317107093185,0.2114047287899861
21.181818181818183,132.05050505050505,0.665,0.3969924812030075,0.2
